exp_id,status,validation_status,validation_reason,started_at,completed_at,duration_s,instance_id,execution_mode,tm4_version,tm4server_version,generations,fitness_max,fitness_mean,fitness_min,ttc,violations,checkpoints,commits,gen0_best,final_best,net_improvement,fitness_range,early_variance,late_variance,improvement_density,monotonicity_ratio,collapse_count,success_threshold,anchor_regime,validator_perturbation_pct,artifact_root,summary_path,schema_version
EXP-AUT-0001,success,UNKNOWN,Validation status could not be determined from available artifacts.,,2026-04-07T10:20:37Z,,DESKTOP-6I5F90S,VPS,61de0f185fb5246a6976cb933fcd371ce35b2e28,81982c635ec3a556a55b2dc68e524d29591dd594,,,,,,0,0,0,,,,,,,,,,,,,C:\Users\Robert\TM4Server\local_runtime\runs\EXP-AUT-0001,C:\Users\Robert\TM4Server\local_runtime\runs\EXP-AUT-0001\run_summary.json,1.0
EXP-AUT-0002,success,UNKNOWN,Validation status could not be determined from available artifacts.,2026-04-07T16:54:40Z,2026-04-07T16:54:44Z,3.32,DESKTOP-6I5F90S,VPS,e668108206a60e3c3dc0fd07b84610bd1b5d6d8f,c77b2157721d3521f231a9851b23ebb86efa921c,,,,,,0,0,0,,,,,,,,,,,,,C:\Users\Robert\TM4Server\local_runtime\runs\EXP-AUT-0002,C:\Users\Robert\TM4Server\local_runtime\runs\EXP-AUT-0002\run_summary.json,1.0
EXP-AUT-0003,success,UNKNOWN,Validation status could not be determined from available artifacts.,2026-04-07T14:55:55Z,2026-04-07T14:55:58Z,2.81,DESKTOP-6I5F90S,VPS,e668108206a60e3c3dc0fd07b84610bd1b5d6d8f,fb2d940688351b7d4efebfa7d94ea28e4bdf1450,,,,,,0,0,0,,,,,,,,,,,,,C:\Users\Robert\TM4Server\local_runtime\runs\EXP-AUT-0003,C:\Users\Robert\TM4Server\local_runtime\runs\EXP-AUT-0003\run_summary.json,1.0
